x0,y0,x1,y1,b,occupancy,mixed
6,4,6,3,1,0.000001,0
4,3,2,3,0,0.000001,0
4,3,2,4,0,0.000001,0
6,4,5,3,1,0.000001,0
6,4,4,3,1,0.000001,0
4,2,5,1,1,0.000000,0
6,4,3,3,1,0.000000,0
1,2,2,1,1,0.000000,0
6,4,2,3,1,0.000000,0
6,4,1,3,1,0.000000,0
6,4,5,4,0,0.000000,0
6,4,0,3,1,0.000000,0
1,1,1,2,1,0.000000,0
6,3,5,4,0,0.000000,0
0,2,3,3,1,0.000000,0
0,3,2,3,1,0.000000,1
2,2,3,3,1,0.000000,0
4,2,4,1,1,0.000000,0
4,3,3,1,1,0.000000,0
4,2,5,3,1,0.000000,0
4,4,2,1,1,0.000000,0
4,4,1,1,1,0.000000,0
1,1,0,2,1,0.000000,0
1,2,0,2,1,0.000000,0
4,4,0,1,1,0.000000,0
4,2,4,3,1,0.000000,0
1,3,2,2,1,0.000000,0
4,4,1,3,1,0.000000,0
4,4,0,3,1,0.000000,0
4,2,3,3,1,0.000000,0
4,3,3,3,1,0.000000,0
4,3,2,3,1,0.000000,0
4,4,2,3,1,0.000000,0
1,3,1,2,1,0.000000,0
1,4,0,2,1,0.000000,0
